condition,label,model,dataset,fraction,seed,epochs,batch_size,lr,learnable_cortical,dict_path,eval_ood,ood_root,ood_severity,test_acc,n_params,device,seconds,ood_brightness,ood_contrast,ood_defocus_blur,ood_elastic_transform,ood_fog,ood_frost,ood_gaussian_blur,ood_gaussian_noise,ood_glass_blur,ood_impulse_noise,ood_jpeg_compression,ood_motion_blur,ood_pixelate,ood_saturate,ood_shot_noise,ood_snow,ood_spatter,ood_speckle_noise,ood_zoom_blur,ood_mean
A,David (small),small,cifar10,0.05,42,25,128,0.001,False,,True,/kaggle/input/datasets/harshadakhatu/cifar-10-c/CIFAR-10-C,3,0.4973,10218,cuda,42.9,0.4701,0.2884,0.4684,0.4581,0.382,0.361,0.4537,0.4583,0.468,0.4468,0.4916,0.4504,0.4883,0.4843,0.4742,0.4655,0.4703,0.4827,0.4482,0.4479
A,David (small),small,cifar10,0.05,43,25,128,0.001,False,,True,/kaggle/input/datasets/harshadakhatu/cifar-10-c/CIFAR-10-C,3,0.4911,10218,cuda,42.9,0.4553,0.3086,0.4637,0.4546,0.3751,0.3639,0.4539,0.4736,0.4687,0.4635,0.4877,0.4393,0.4825,0.4851,0.477,0.4541,0.469,0.4818,0.4439,0.4474
A,David (small),small,cifar10,0.05,44,25,128,0.001,False,,True,/kaggle/input/datasets/harshadakhatu/cifar-10-c/CIFAR-10-C,3,0.4806,10218,cuda,44.0,0.4524,0.2569,0.4522,0.4384,0.3639,0.3482,0.4396,0.4632,0.4587,0.4527,0.4761,0.4327,0.4705,0.4779,0.4684,0.4439,0.4658,0.4691,0.4313,0.4348
A,David (small),small,cifar10,1.0,42,25,128,0.001,False,,True,/kaggle/input/datasets/harshadakhatu/cifar-10-c/CIFAR-10-C,3,0.7077,10218,cuda,202.4,0.6813,0.4005,0.6173,0.5972,0.5449,0.5317,0.5612,0.468,0.5489,0.4756,0.6612,0.5439,0.6436,0.6925,0.5243,0.5838,0.5923,0.558,0.5587,0.5676
A,David (small),small,cifar10,1.0,43,25,128,0.001,False,,True,/kaggle/input/datasets/harshadakhatu/cifar-10-c/CIFAR-10-C,3,0.7079,10218,cuda,200.6,0.6814,0.4087,0.6402,0.6161,0.539,0.5472,0.5973,0.5224,0.5901,0.5394,0.6737,0.5668,0.6831,0.6982,0.5701,0.6037,0.6084,0.5939,0.5929,0.5933
A,David (small),small,cifar10,1.0,44,25,128,0.001,False,,True,/kaggle/input/datasets/harshadakhatu/cifar-10-c/CIFAR-10-C,3,0.703,10218,cuda,201.8,0.6708,0.4115,0.6243,0.6011,0.5501,0.4975,0.5854,0.5355,0.5907,0.561,0.6672,0.5529,0.6423,0.6928,0.5816,0.5985,0.6296,0.5946,0.5729,0.5874
Ap,A' control tamaño,small+dumb,cifar10,0.05,42,25,128,0.001,True,,True,/kaggle/input/datasets/harshadakhatu/cifar-10-c/CIFAR-10-C,3,0.4901,28842,cuda,47.1,0.4628,0.4083,0.4867,0.4684,0.4289,0.3556,0.4859,0.4848,0.4738,0.4835,0.4854,0.4711,0.4894,0.4828,0.487,0.4605,0.4706,0.4897,0.477,0.4659
Ap,A' control tamaño,small+dumb,cifar10,0.05,43,25,128,0.001,True,,True,/kaggle/input/datasets/harshadakhatu/cifar-10-c/CIFAR-10-C,3,0.4716,28842,cuda,46.5,0.4507,0.3967,0.4667,0.4545,0.4209,0.3783,0.4636,0.4673,0.4656,0.4667,0.4713,0.4626,0.4705,0.4635,0.4718,0.4364,0.4605,0.469,0.4589,0.4524
Ap,A' control tamaño,small+dumb,cifar10,0.05,44,25,128,0.001,True,,True,/kaggle/input/datasets/harshadakhatu/cifar-10-c/CIFAR-10-C,3,0.4739,28842,cuda,45.9,0.4418,0.3808,0.4687,0.4517,0.4036,0.363,0.4649,0.4716,0.4638,0.4729,0.4753,0.448,0.4722,0.4711,0.4739,0.4378,0.456,0.4731,0.4531,0.4496
Ap,A' control tamaño,small+dumb,cifar10,1.0,42,25,128,0.001,True,,True,/kaggle/input/datasets/harshadakhatu/cifar-10-c/CIFAR-10-C,3,0.7176,28842,cuda,208.0,0.7007,0.4502,0.6474,0.6187,0.5914,0.586,0.5951,0.5917,0.5839,0.5683,0.6789,0.52,0.6794,0.7055,0.6252,0.6049,0.6063,0.6392,0.5971,0.61
