condition,label,model,dataset,fraction,seed,epochs,batch_size,lr,learnable_cortical,test_acc,n_params,device,seconds
A,David (small),small,mnist,0.01,42,10,128,0.001,False,0.7723,9930,mps,25.6
A,David (small),small,mnist,0.05,42,10,128,0.001,False,0.9313,9930,mps,26.4
A,David (small),small,mnist,0.1,42,10,128,0.001,False,0.9636,9930,mps,28.6
A,David (small),small,mnist,0.25,42,10,128,0.001,False,0.9735,9930,mps,34.1
A,David (small),small,mnist,1.0,42,10,128,0.001,False,0.9853,9930,mps,52.0
B,David+cortical,small+cortical,mnist,0.01,42,10,128,0.001,True,0.7688,15962,mps,58.8
B,David+cortical,small+cortical,mnist,0.05,42,10,128,0.001,True,0.9475,15962,mps,93.6
B,David+cortical,small+cortical,mnist,0.1,42,10,128,0.001,True,0.9701,15962,mps,4184.3
B,David+cortical,small+cortical,mnist,0.25,42,10,128,0.001,True,0.9792,15962,mps,188.7
B,David+cortical,small+cortical,mnist,1.0,42,10,128,0.001,True,0.9882,15962,mps,671.8
Ap,A' control tamaño,small+dumb,mnist,0.01,42,10,128,0.001,True,0.8148,15962,mps,34.1
Ap,A' control tamaño,small+dumb,mnist,0.05,42,10,128,0.001,True,0.9541,15962,mps,38.1
Ap,A' control tamaño,small+dumb,mnist,0.1,42,10,128,0.001,True,0.9711,15962,mps,40.9
Ap,A' control tamaño,small+dumb,mnist,0.25,42,10,128,0.001,True,0.9771,15962,mps,46.7
Ap,A' control tamaño,small+dumb,mnist,1.0,42,10,128,0.001,True,0.9894,15962,mps,89.3
App,A'' lesión estructura,small+lesion,mnist,0.01,42,10,128,0.001,True,0.8031,15962,mps,34.6
App,A'' lesión estructura,small+lesion,mnist,0.05,42,10,128,0.001,True,0.9387,15962,mps,38.4
App,A'' lesión estructura,small+lesion,mnist,0.1,42,10,128,0.001,True,0.9679,15962,mps,44.7
App,A'' lesión estructura,small+lesion,mnist,0.25,42,10,128,0.001,True,0.9774,15962,mps,61.5
App,A'' lesión estructura,small+lesion,mnist,1.0,42,10,128,0.001,True,0.9878,15962,mps,142.7
C,Goliat (large),large,mnist,0.01,42,10,128,0.001,False,0.8545,619786,mps,37.0
C,Goliat (large),large,mnist,0.05,42,10,128,0.001,False,0.9648,619786,mps,41.4
C,Goliat (large),large,mnist,0.1,42,10,128,0.001,False,0.9748,619786,mps,46.5
C,Goliat (large),large,mnist,0.25,42,10,128,0.001,False,0.9879,619786,mps,59.8
C,Goliat (large),large,mnist,1.0,42,10,128,0.001,False,0.9908,619786,mps,108.2
